Title,"Cost Total","GCU Contact","Date Submitted","Name of Software Company","Date of Launch","Date of Renewal"
Powershell,558.6,,2/23/20,,1/1/20,1/1/20
"PowerShell Studio",,,4/22/20,"SAPIEN Technologies Inc",4/22/20,4/22/20
"PowerWorld Dynamics Studio",,,12/22/21,,11/30/22,
"Premium Scanner (College Fairs)",,,8/6/19,,8/6/19,8/6/19
"Prezi (free trial)",,,8/6/19,,8/6/19,8/6/19
PrintCampus,,,2/24/20,,1/1/20,1/1/20
"Pro Apps Bundle",414.91,,1/5/21,"Apple, Inc.",1/5/21,1/5/21
"Pro Tools First",,,8/6/19,,8/6/19,8/6/19
ProctorU,21000,,9/14/20,"ProctorU Inc",9/14/20,9/14/20
"Product Design",,,5/21/20,Invision,5/21/20,5/21/20
"Production Truck",,,12/13/21,,11/30/22,
"Professional Services",,,11/11/20,"Hye Tech Network & Security Solutions LLC",11/11/20,11/11/20
"Project Libre",,,10/3/18,,10/3/18,10/3/18
ProofPoint,,,8/27/19,"Enterprise Network Solutions Inc.",8/27/19,8/27/19
"ProQuest OneSearch",,,5/9/22,,11/30/22,
"ProtoTRAK TMX Offline Software",,,11/27/19,,11/30/22,
"PTC Mathcad Express",,,8/6/19,,8/6/19,8/6/19
Pycharm,,,8/6/19,,11/30/22,
Pyramed,1500,,8/19/20,"PyraMED Health Systems",8/19/20,8/19/20
Pyramed,,,12/28/20,"Media Highway",12/28/20,12/28/20
Python,,,8/6/19,,11/30/22,
Pyware,,,8/6/19,,8/6/19,8/6/19
"Q-SYS Designer",,,6/8/21,,11/30/22,
Qualys,38257.02,,8/26/20,"Qualys Inc",8/26/20,8/26/20
"Quick Connect",,,2/26/20,,1/1/20,1/1/20
"Quickie Plus",270,,8/17/20,"ZenDesk, Inc",8/17/20,8/17/20
"Quicktime Player",,,8/6/19,,8/6/19,8/6/19
"R Studio",,,3/15/22,,11/30/22,
"Rave Mobile Safety",4482.77,"Terry Guerrero",2/6/20,"Rave Wireless, Inc",2/6/20,2/6/20
Reallusion,,,3/9/22,,11/30/22,
RealRecruit,16800,"Mark Wilty",7/1/20,"RealRecruit LLC",7/1/20,7/1/20
Recast,4320,"Chad Troxel",4/3/20,"Recast LLC",4/3/20,4/3/20
"Red Apple Workflow Installer",,,4/1/20,,4/1/20,4/1/20
"Red Cine X",,,8/6/19,,8/6/19,8/6/19
"Redshift Rendering",500,,1/16/20,"RedShift Rendering Technologies Inc",1/16/20,1/16/20
Refworks,,,12/9/20,,12/9/20,12/9/20
"Remark Office OMR 9.5.16",,,3/9/21,,11/30/22,
"Remote Desktop",,,2/27/20,,1/1/20,1/1/20
REN-ISAC,1500,,5/31/20,"Indiana University",5/31/20,5/31/20
"Report Builder",,,6/12/17,,6/12/17,6/12/17
Resharper,,,8/28/20,"JetBrains Americas Inc",8/28/20,8/28/20
"Resource Scheduler App",,,2/28/20,,1/1/20,1/1/20
"Right View Pro",,,1/15/20,,1/15/20,1/15/20
"Right View Pro",,,1/15/20,,11/30/22,
"Rising Software",6490,,12/2/20,"Rising Software Australia Pty Ltd",12/2/20,12/2/20
"RMS Keyboards",,,3/30/22,,11/30/22,
Rocketbook,,,4/29/22,,11/30/22,
RStudio,,,11/19/20,,11/19/20,11/19/20
"Rubric Reader",,,2/29/20,,1/1/20,1/1/20
Ruby,,,8/6/19,,8/6/19,8/6/19
"Ryver Enterprise",8150,,11/3/20,"Ryver LLC",11/3/20,11/3/20
"S/MIME Control",,,4/13/21,,11/30/22,
Saba,24266.56,,2/4/20,"Saba Software Inc",2/4/20,2/4/20
"Sabre Red",,,3/1/20,,1/1/20,1/1/20
Safari,,,8/6/19,,8/6/19,8/6/19
"Safety Skills Compliance",3820,,6/16/20,"SafetySkills LLC",6/16/20,6/16/20
"Sage CRM",,,2/18/20,"Sage Software Inc",2/18/20,2/18/20
"Sage FAS",6677,,8/10/20,"Net at Work Inc",8/10/20,8/10/20
"SAGE Online (For Distributors)",,,7/10/17,,7/10/17,7/10/17
"Sales Pad Consulting",855.31,,10/15/19,"Sales Pad LLC",10/15/19,10/15/19
Salesforce,315096,"Cienna Hernandez",4/22/20,"Salesforce.org LLC",4/22/20,4/22/20
Salesforce,376817.5,"Cienna Hernandez",11/10/20,"MerlinOne, Inc",11/10/20,11/10/20
SAL-NET,,,8/6/19,,11/30/22,
"SALSA LipSync",39,,1/5/21,Unity,1/5/21,1/5/21
"SBL Hebrew Keyboard Driver",,,2/8/16,,2/8/16,2/8/16
"ScanSnap - PFU Printer",,,8/6/19,,8/6/19,8/6/19
Scantron,3057.9,,6/16/20,"Scantron Corporation",6/16/20,6/16/20
ScheduleView,,,3/2/20,,1/1/20,1/1/20
"Screaming Frog",,,8/3/20,,11/30/22,
"Screen Reader",1200,,10/15/20,JAWS,10/15/20,10/15/20
Screencast-O-Matic,,,8/6/19,,11/30/22,
ScreenCloud,,,5/11/22,,11/30/22,
"ScreenSteps Desktop",,,8/6/19,,8/6/19,8/6/19
SensorUtility,,,8/6/19,,11/30/22,
"SEO Monitor",3679.4,"Sandy Dantzer",1/9/21,SEMrush,1/9/21,1/9/21
"Separation Studio",,,8/6/19,,8/6/19,8/6/19
"Sequel Server Management Studio",,,2/4/19,,2/4/19,2/4/19
"Serenity BDD",,,10/24/21,,11/30/22,
"Server Hosting",3001.65,,8/6/20,"Rackspace LTD",8/6/20,8/6/20
"Service Desk",,,12/14/20,"A&I Solutions Inc",12/14/20,12/14/20
"Service Desk",,,3/3/20,,1/1/20,1/1/20
"Service Request System",,,3/9/20,,1/1/20,1/1/20
"Services Plan - X-SMALL",1000,,10/15/20,"American Registry for Internet",10/15/20,10/15/20
ShareBrowser,,,10/31/19,,10/31/19,10/31/19
Sharebrowser,,,10/31/19,,11/30/22,
Sharegate,6995,,3/6/20,"Sharegate Inc",3/6/20,3/6/20
Sharepoint,,,3/4/20,,1/1/20,1/1/20
Shopify,,,5/3/22,,11/30/22,
"Shure Update Utility",,,3/13/18,,11/30/22,
SIDEARM,4725,"Mark Wilty",10/26/20,"SIDEARM Sports",10/26/20,10/26/20
"Sierra Desktop",,,8/28/20,,8/28/20,8/28/20
"Silhouette Studio",,,4/20/20,,4/20/20,4/20/20
Silverlight,,,11/4/14,,11/4/14,11/4/14
SimViewer,,,12/28/22,,12/28/22,
"Sisense Server",26250,,1/13/21,"Sisense Inc",1/13/21,1/13/21
Siteimprove,,,9/23/20,"Siteimprove Inc",9/23/20,9/23/20
"Sketch Team Subscription",297,,1/31/20,"3.0 Sketch",1/31/20,1/31/20
"Sketch Team Subscription",,,1/13/20,"1.0 Sketch",1/13/20,1/13/20
SketchUp,,,9/25/18,,9/25/18,9/25/18
"Skype for Business",,,3/5/20,,1/1/20,1/1/20
"SkyTouch Services",21600,"katya hofmann",10/28/19,"Choice Hotels International Inc",10/28/19,10/28/19
Slack,,,5/26/21,,11/30/22,
"Slido for PowerPoint",,,2/28/22,,11/30/22,
"SMART Notebook",,,3/31/16,,3/31/16,3/31/16
Smartsheet,,,10/15/20,"Smartsheet.com Inc",10/15/20,10/15/20
SmartyStreets,,,12/23/20,"SmartyStreets LLC",12/23/20,12/23/20
"Snag It",,,3/6/20,,1/1/20,1/1/20
"Snag It",24.97,,8/6/19,,11/30/22,
SnagIt,,,12/14/20,"Software One Inc",12/14/20,12/14/20
"Snap Survey",3750,"Judith Eroe",7/10/20,"Snap Surveys NH Inc",7/10/20,7/10/20
"SnapEngage Enterprise Agents",,,12/4/20,"SnapEngage LLC",12/4/20,12/4/20
Snapgene,,,5/29/20,,5/29/20,5/29/20
"Snipping tool",,,3/7/20,,1/1/20,1/1/20
snsdiag-macos-20190212-175209,,,1/5/22,,11/30/22,
"Soccer Heart Rate Montors",,,3/17/20,"Catapult Sports LLC",3/17/20,3/17/20
"Social Monitoring",,,1/9/21,Sendible,1/9/21,1/9/21
"Social Tables",2231,"Tira Montgomery",8/20/20,Cvent,8/20/20,8/20/20
"Social Tables",,,5/28/20,"SocialVenu Inc",5/28/20,5/28/20
SocialVenu,2500,,7/1/20,"SocialVenu Inc",7/1/20,7/1/20
"Soft Token",,,8/6/19,,11/30/22,
SoftChalk,,,8/6/19,,8/6/19,8/6/19
"SoftChalk Cloud",,,1/8/21,"Softchalk LLC",1/8/21,1/8/21
SOLIDWORKS,,,9/4/20,"GoEngineer Inc",9/4/20,9/4/20
SolidWorks,,,8/8/16,,8/8/16,8/8/16
"Sonicwall Advanced Gateway",2824,,3/2/20,"CD's IT Consulting",3/2/20,3/2/20
"Sound Forge",,,8/6/19,,8/6/19,8/6/19
"SoundCore Q10 Bluetooth Headset",,,1/20/22,,11/30/22,
Soundstripe,359.4,,12/1/20,Soundstripe,12/1/20,12/1/20
"SOX Portal",,,1/20/21,Protiviti,1/20/21,1/20/21
Spark,,,4/29/22,,11/30/22,
"Spark AR App",,,1/4/22,,11/30/22,
"Sphere 2",,,9/20/21,,11/30/22,
Splashtop,,,6/17/21,,11/30/22,
Splunk,195105,,12/15/20,"Enterprise Network Solutions Inc.",12/15/20,12/15/20
"SponsorUnited Professional",218.81,,10/12/20,"SponsorUnited Inc",10/12/20,10/12/20
"Sports Med",900,,6/30/20,"Keffer Development Services, LLC",6/30/20,6/30/20
"Sports Med",750,,10/23/20,"ImPACT Applications Inc",10/23/20,10/23/20
"Sports Med Weather Service",,,12/1/20,"DTN LLC",12/1/20,12/1/20
"Sports Solutions",,,11/24/20,"Dartfish USA",11/24/20,11/24/20
"Sports Stats/Data",,,8/4/20,"InStat Limited",8/4/20,8/4/20
"Sportscode Elit",,,8/27/20,Hudl,8/27/20,8/27/20
"Spotify/Music streaming software",,,8/6/19,,11/30/22,
SPSS,21845.06,,9/23/20,"International Business Machines Corporation",9/23/20,9/23/20
SPSS,,,3/10/20,,1/1/20,1/1/20
"SPSS Amos",,,8/6/19,,8/6/19,8/6/19
SpyBot,,,8/6/19,,11/30/22,
Spyder5Elite+,,,8/2/19,,8/2/19,8/2/19
SQL,,,3/8/20,,1/1/20,1/1/20
"SSIS Powerpack",3897,,5/20/20,"ZappySys LLC",5/20/20,5/20/20
SSL/TLS,218,,9/29/20,"DigiCert Inc",9/29/20,9/29/20
StarRez,6575.72,"Sarah Castro",8/26/20,"StarRez Inc",8/26/20,8/26/20
StatBroadcast,2159,"Don Drysdale",8/25/20,"Radiak Group LLC",8/25/20,8/25/20
"Steam ",,,4/20/20,,11/30/22,
StoryLine,,,8/6/19,,11/30/22,
Strength,2388,"Mark Wilty",7/2/20,dorsaVi,7/2/20,7/2/20
"Studio One",,,8/6/19,,8/6/19,8/6/19
SubItUp,6060,"Jessica Defoy",7/8/20,"SubItUp inc",7/8/20,7/8/20
"Substance Pro",,,12/22/20,Adobe,12/22/20,12/22/20
SurveyMonkey,4372.6,,9/29/20,"SurveyMonkey Inc",9/29/20,9/29/20
"Swimming 8.0",,,8/6/19,,11/30/22,
"Switcher Cast for Windows",,,8/21/20,,8/21/20,8/21/20
"Symantex VIP",,,2/11/22,,11/30/22,
Symplicity,15595.2,"Bianca Shaw",6/16/20,"Symplicity Corporation",6/16/20,6/16/20
"Synergy Sports",,,7/7/20,"Synergy Sports Technology LLC",7/7/20,7/7/20
"System Center Configuration Manager Console (SCCM)",,,3/11/20,,1/1/20,1/1/20
"Tableau Reader/Desktop",,,8/6/19,,8/6/19,8/6/19
"Tag Assistant Companion",,,3/1/22,,11/30/22,
Tagboard,,,3/2/22,,11/30/22,
"Tajima DG15",,,8/6/19,,8/6/19,8/6/19
"TangiX Tester PROClient",,,4/14/21,,11/30/22,
"Tapspace libraries",,,8/6/19,,11/30/22,
"TASER Int. Evidence Sync",,,8/6/19,,8/6/19,8/6/19
Taskstream,,,3/30/20,"Watermark Insights LLC",3/30/20,3/30/20
"Team Calendar",240,"Beth Bruner",10/20/20,TeamUp,10/20/20,10/20/20
"Team Infographics",25000,"Don Drysdale",6/17/20,"Fuzzy Red Panda LLC",6/17/20,6/17/20
"Team Manager",,,8/21/21,,11/30/22,
Teamsites,,,3/12/20,,1/1/20,1/1/20
TeamViewer,,,11/3/20,TeamViewer,11/3/20,11/3/20
"Teamwork Timer",,,8/6/19,,11/30/22,
Teamworks,2225.47,"Don Drysdale",8/6/20,"Teamworks Innovations",8/6/20,8/6/20
"Technical Training",2995,,9/1/20,"GainShare, Inc",9/1/20,9/1/20
"Tesira Design",,,2/7/22,,11/30/22,
Test,,,6/1/22,SomethingCool,6/1/22,
"Test - Roxanne",,,6/6/22,,6/6/22,
"TestGen (Pearson)",,,8/6/19,,8/6/19,8/6/19
"Text Expander",,,8/6/19,,11/30/22,
ThePBone/GalaxyBudsClient,,,2/25/21,,11/30/22,
ThermoLib,,,3/31/17,,3/31/17,3/31/17
ThinkingStorm,,,7/10/20,"ThinkingStorm Inc",7/10/20,7/10/20
"Ticket Office",24,"Tira Montgomery",6/2/20,"Flash Seats Vertical Alliance LLC",6/2/20,6/2/20
"Total Care iQ Gold Package",,,1/7/21,"Education Management Solutions LLC",1/7/21,1/7/21
"Tournament LIVE",396,"Don Drysdale",2/28/20,"GolfStat Inc",2/28/20,2/28/20
TPP,,,8/6/19,,11/30/22,
Trello,15330,,9/13/13,,11/30/22,
Trivia,,,6/9/22,,11/30/22,
"Trusteer's Rapport Security Software",,,3/1/21,,11/30/22,
TSScan,,,4/1/22,,11/30/22,
"Turbo .264HD-Elgato (MAC)",,,8/6/19,,8/6/19,8/6/19
"Tutor Trac",,,6/24/20,"Redrock Software Corp",6/24/20,6/24/20
Twilio,179.4,"Jessica Defoy",6/12/20,"Twilio Inc",6/12/20,6/12/20
"Type it in",,,8/6/19,,11/30/22,
TyphonGroup,,,9/14/20,"Typhon Group",9/14/20,9/14/20
Ubuntu,,,9/13/18,,9/13/18,9/13/18
UniCheck,100,,10/13/20,"Plagix LLC",10/13/20,10/13/20
Unity,,,8/6/19,,8/6/19,8/6/19
"Unity Pro",3210,,3/9/22,,11/30/22,
"Universal Music",,,12/22/20,"Z Tunes LLC",12/22/20,12/22/20
"Universe Design Tool for SAP Business Objects",,,12/6/19,,11/30/22,
"USB-MIDI Driver",,,9/28/20,,9/28/20,9/28/20
"USGA TM Club Premium",1150,"Alec Dahlquist",7/9/20,"Golf Genius Software LLC",7/9/20,7/9/20
Vault,,,8/24/20,"Optiv Security Inc",8/24/20,8/24/20
"Vector Works",648,,8/6/19,,11/30/22,
"Verizon Message Application",,,8/6/19,,11/30/22,
"Vernier Video Analysis",,,6/22/20,,6/22/20,6/22/20
Versadial,780,"Terry Guerrero",9/29/20,"Versadial Solutions",9/29/20,9/29/20
Vertex,36077,,9/29/20,"Vertex, Inc",9/29/20,9/29/20
"Video Observer",,,8/6/19,,11/30/22,
Vimba,,,8/6/19,,8/6/19,8/6/19
Vimeo,600,,11/11/20,Vimeo,11/11/20,11/11/20
"VIP Access Setup/Symantex VIP",,,2/11/22,,11/30/22,
"Virbela Stream",,,4/13/21,,11/30/22,
"Virtual Light Lab",,,8/6/19,,8/6/19,8/6/19
"Virtual PC",,,8/6/19,,8/6/19,8/6/19
"Virtual Simulations",,,1/7/21,"Laerdal Medical",1/7/21,1/7/21
Virtualbox,,,10/31/18,,10/31/18,10/31/18
Visio,,,8/6/19,,8/6/19,8/6/19
VISIO,,,3/13/20,,1/1/20,1/1/20
"Visual Studio",,,8/6/19,,8/6/19,8/6/19
"Visual studio",,,3/14/20,,1/1/20,1/1/20
VitalSource,,,8/6/19,,8/6/19,8/6/19
Vitrium,69977,,5/6/20,"Vitrium Systems Inc",5/6/20,5/6/20
Vitrium,20017,,11/4/20,"Vitrium Systems Inc.",11/4/20,11/4/20
"Vixen Lights",,,11/6/19,,11/30/22,
"VLA Azure",79501.27,,8/24/20,"Dell Computer Corporation",8/24/20,8/24/20
"VLA AZURE",,,12/18/20,"Dell Computer Corporation",12/18/20,12/18/20
"VLA Flow Plan EDU",360,"Deana Silva",6/2/20,"Dell Computer Corporation",6/2/20,6/2/20
VLC,,,8/6/19,,8/6/19,8/6/19
vMix,,,6/25/20,,6/25/20,6/25/20
"VMWare Fusion Professional",,,3/4/20,"CDW Government LLC",3/4/20,3/4/20
"VMWare Pro",155.6,,8/23/21,,11/30/22,
Volleymetrics,,,12/22/20,Hudl,12/22/20,12/22/20
Volleymetrics,5000,,6/24/20,"VolleyMetrics LLC",6/24/20,6/24/20
"VolleyStation Pro",,,4/25/22,,11/30/22,
"VolleyStation Streamer",,,4/25/22,,11/30/22,
VPN,,,3/15/20,,1/1/20,1/1/20
Vstarcam,,,8/6/19,,8/6/19,8/6/19
"VTLS Library Circulation Software",,,8/6/19,,8/6/19,8/6/19
Wacom,,,8/6/19,,11/30/22,
WalkMe,58253.04,,10/3/20,"WalkMe, Inc",10/3/20,10/3/20
Wasp,,,8/6/19,,8/6/19,8/6/19
"Waxie Apps",,,8/6/19,,11/30/22,
Webex,,,7/25/14,,7/25/14,7/25/14
Wellable,,,5/4/22,,11/30/22,
WhatsApp,,,4/28/20,,11/30/22,
WildFire,1932.02,,10/7/20,"Enterprise Network Solutions Inc.",10/7/20,10/7/20
"Wimba Diploma",,,8/6/19,,8/6/19,8/6/19
"Windows Terminal",,,2/12/20,,11/30/22,
WinMerge,,,8/6/19,,11/30/22,
WIN-PACK,6480,"Ha Cao",4/9/20,"Next Protection LLC",4/9/20,4/9/20
WinPak,,,8/6/19,,8/6/19,8/6/19
Winscp,,,8/24/22,,8/24/22,
WINSCP,,,8/6/19,,11/30/22,
"Word to EPUB",,,10/14/20,,10/14/20,10/14/20
WordtoEPUB,,,9/30/20,,11/30/22,
WorkaMajig,22000,"Cienna Hernandez",7/28/20,"Creative Manager Inc",7/28/20,7/28/20
WorkDay,6800,,9/1/20,"Workday, Inc",9/1/20,9/1/20
Workday,,,3/17/20,,1/1/20,1/1/20
WorkEngine,,,3/16/20,,1/1/20,1/1/20
"Write N Cite",,,8/6/19,,8/6/19,8/6/19
"WVB DataVolley",1199,"Don Drysdale",6/9/20,"Genius Sports Media Inc",6/9/20,6/9/20
Xampp,,,5/19/16,,5/19/16,5/19/16
X-Author,,,8/6/19,,8/6/19,8/6/19
XRM,,,3/18/20,,1/1/20,1/1/20
ZenDesk,16346.4,,11/30/20,"ZenDesk, Inc",11/30/20,11/30/20
ZenQ,92000,,10/12/20,"Zen Quality Assurance Put Ltd",10/12/20,10/12/20
ZipWhip,,,10/22/20,"ZipWhip Inc",10/22/20,10/22/20
"ZOHO Helpdesk",6386.3,,11/24/20,"ZOHO Corporation",11/24/20,11/24/20
Zoom,1596.23,,1/4/21,Zoom,1/4/21,1/4/21
Zoom,2573.23,,4/30/20,"Zoom Video Communications Inc",4/30/20,4/30/20
Zoom,,,8/6/19,,8/6/19,8/6/19
Zoom,,,3/19/20,,1/1/20,1/1/20
Zoomph,,,6/18/20,"Zoomph Inc",6/18/20,6/18/20
Zotero,,,8/6/19,,8/6/19,8/6/19
Zune,,,8/6/19,,11/30/22,
